,Receipt ID,Line #,Text,Class (item/total),Class (item/total).1,Class (item/total).2
0,US0,1,GREEN FIELD,Store Name,,
1,US0,2,5305 E PACIFIC COAST HWY,Address,,
2,US0,3,"Long Beach, CA 90804",Address,,
3,US0,4,(562) 597-0906,Tel#,,
4,US0,5,Server: Francis   Station: 3,Misc.,,
5,US0,6,Order #: 69923    Dine In,Misc.,,
6,US0,7,Table: B11    Guests: 2,Misc.,,
7,US0,8,1 Coffee    3.00,Items,,
8,US0,9,2 Lunch      45.90,Items,,
9,US0,10,1 Coke          3.00,Items,,
10,US0,11,SUB TOTAL   51.90,Subtotal,,
11,US0,12,Tax 1:               4.60,Tax,,
12,US0,13,TOTAL:       $56.58,Total,,
13,US0,14,2016-05-26 12:53:10,Date,Hour,
14,US0,15,THANK YOU!,Misc.,,
15,US1,1,GRAND LUX CAFE,Store Name,,
16,US1,2,Roosevelt Field,Address,,
17,US1,3,0480  TABLE 101 #Party 3B  ,Misc.,,
18,US1,4,STEPHEN R SvrCk: 4   16:43 04/25/15,Date,Hour,Date
19,US1,5,Coffee    2.95,Items,,
20,US1,6,Chicken Parmesan     17.95,Items,,
21,US1,7,Prime Top Sirloin      25.95,Items,,
22,US1,8,The Bacon-Cheese Burger     13.95,Items,,
23,US1,9,Coffee     2.95,Items,,
24,US1,10,Sub Total:   63.75,Subtotal,,
25,US1,11,Tax: 5.50,Tax,,
26,US1,12,Sub Total: 69.25,Subtotal,,
27,US1,13,04/25 17:42 TOTAL:   69.25,Date,Hour,Total
28,US1,14,Gratuity Not Included,Misc.,,
29,US1,15,Suggested Gratuity:,Misc.,,
30,US1,16,20%    13.85,Misc.,,
31,US1,17,18%     12.47,Misc.,,
32,US1,18,15%     10.39,Misc.,,
33,US1,19,It's been a pleasure to serve you.,Misc.,,
34,US1,20,Thank you for dining with us,Misc.,,
35,US2,1,El Gran Mar de Plata,Store Name,,
36,US2,2,10325 Hammocks BIvd,Address,,
37,US2,3,"Miami, FL 33176",Address,,
38,US2,4,(305) 386-6638,Tel#,,
39,US2,5,Server: Kayra   Station 10,Misc.,,
40,US2,6,Order #: 8262 Dine In,Misc.,,
41,US2,7,Bar Tab: Bar Tab,Misc.,,
42,US2,8,>>SETLED<<,Misc.,,
43,US2,9,1 Miller Lite   5.00,Items,,
44,US2,10,SUB TOTAL:   5.00,Subtotal,,
45,US2,11,Sales Tax:       0.35,Tax,,
46,US2,12,TOTAL:    $5.35,Total,,
47,US2,13,Cash Tendered: 5.35,Misc.,,
48,US2,14,Balance:    $0.00,Misc.,,
49,US2,15,>>Ticket #: 35<<,Misc.,,
50,US2,16,Created: 4/20/2017 10:13:17 PM,Date,Hour,
51,US2,17,SETTLED: 4/20/2017 10:13:25 PM,Date,Hour,
52,US2,18,THANK YOU!,Misc.,,
53,US3,1,GOLDEN BOWL TERIYAKI,Store Name,,
54,US3,2,8610 GARFIELD AVE.,Address,,
55,US3,3,"SOUTH GATE, CA. 90280",Address,,
56,US3,4,TEL: (562) 928-8999,Tel#,,
57,US3,5,REG  05-18-2019 11: 19 AM,Date,Date,Hour
58,US3,6,Manager1 MC #01     000141,Misc.,,
59,US3,7,ORDER# 000141,Misc.,,
60,US3,8,1 #1 CHKN PLATE   $9.39,Items,,
61,US3,9,1+ AVOCADO    $1.95,Items,,
62,US3,10,1 MD. DRINK   $2.29,Items,,
63,US3,11,*HERE:,Misc.,,
64,US3,12,TAX   $1.40,Tax,,
65,US3,13,TOTAL.  $15.03,Total,,
66,US3,14,CASH    $20.00,Misc.,,
67,US3,15,CG   $4.97,Misc.,,
68,US5,1,Akira,Store Name,,
69,US5,2,385 Rt 9 W,Address,,
70,US5,3,"Glenmont, NY 12077",Address,,
71,US5,4,518-434-8880,Tel#,,
72,US5,5,www.akirasushigroup.com,Misc.,,
73,US5,6,2018-11-18 16:58:34,Date,Hour,
74,US5,7,#37 PICKUP,Misc.,,
75,US5,8,Leo,Misc.,,
76,US5,9,Phil,Misc.,,
77,US5,10,QTY    ITEM   Amt,Misc.,,
78,US5,11,1   Hi. Chk Steak (K)     $22.95,Items,,
79,US5,12,Med,Items,,
80,US5,14,Noodle        $2.00,Items,,
81,US5,15,1    Sushi Deluxe     $20.75,Items,,
82,US5,16,1    Glenmont Roll    $15.95,Items,,
83,US5,17,1   Philly R    $6.50,Items,,
84,US5,18,2   Sp Tuna R    $13.00,Items,,
85,US5,19,1    Salmon  R   $5.50,Items,,
86,US5,20,Subtotal:       $86.65,Subtotal,,
87,US5,21,Tax:        $6.93,Tax,,
