Sentence #,Word,POS,Tag
Sentence: 1,TAN,NNP,O
,WOON,NNP,O
,YANN,VBZ,O
,BOOK,NNP,B-company
,TA,NNP,I-company
,.K,NFP,I-company
,(TAMAN,ADD,I-company
,DAYA),NNP,I-company
,SDN,NNP,I-company
,BND,NNP,O
,789417-W,CD,O
,NO.53,NNP,B-address
,55,CD,I-address
,57,CD,I-address
,&,CC,I-address
,59,CD,I-address
,JALAN,NNP,I-address
,SAGU,NNP,I-address
,18,CD,I-address
,TAMAN,NN,I-address
,DAYA,NNP,I-address
,81100,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR.,NNP,I-address
,DOCUMENT,NNP,O
,NO,UH,O
,:,:,O
,TD01167104,NN,O
,DATE:,NNP,O
,25/12/2018,CD,B-date
,8:13:39,CD,O
,PM,NN,O
,CASHIER:,JJ,O
,MANIS,NNP,O
,MEMBER:,NNP,O
,CASH,NN,O
,BILL,NNP,O
,CODE/DESC,NNP,O
,PRICE,NN,O
,DISC,NNP,O
,AMOUNT,NNP,O
,QTY,NNP,O
,RM,NNP,O
,RM,NNP,O
,9556939040116,CD,O
,KF,NNP,O
,MODELLING,VBG,O
,CLAY,NNP,O
,KIDDY,NNP,O
,FISH,NNS,O
,1,CD,O
,PC,NN,O
,*,NFP,O
,9.000,CD,O
,0.00,CD,O
,9.00,CD,B-total
,TOTAL:,NNP,O
,ROUR,NN,O
,DING,NNS,O
,ADJUSTMENT:,RB,O
,0.00,CD,O
,ROUND,NNP,O
,D,NNP,O
,TOTAL,NNP,O
,(RM):,.,O
,9.00,CD,B-total
,CASH,NNP,O
,10.00,CD,O
,CHANGE,NNP,O
,1.00,CD,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE,VBN,O
,OR,CC,O
,EXCHANGEABLE,NNP,O
,***,NFP,O
,***,NFP,O
,THANK,VBP,O
,YOU,PRP,O
,PLEASE,UH,O
,COME,VB,O
,AGAIN,RB,O
,!,.,O
,9.00,CD,B-total
Sentence: 1,TAN,NNP,O
,WOON,NNP,O
,YANN,VBZ,O
,INDAH,NNP,B-company
,GIFT,NNP,I-company
,&,CC,I-company
,HOME,NNP,I-company
,DECO,NNPS,I-company
,27,CD,B-address
,JALAN,NNP,I-address
,DEDAP,NNP,I-address
,13,CD,I-address
,TAMAN,NNP,I-address
,JOHOR,NNP,I-address
,JAYA,NNP,I-address
,81100,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR.,NNP,I-address
,TEL:07-3507405,XX,O
,FAX:07-3558160,XX,O
,RECEIPT,NNP,O
,19/10/2018,CD,B-date
,20:49:59,CD,O
,#01,NN,O
,CASHIER:,NNP,O
,CN,NNP,O
,LOCATION/SP:,CD,O
,05,CD,O
,/0531,.,O
,MB:,NNP,O
,MO26588,NNP,O
,ROOM,NNP,O
,NO:,NNP,O
,01,CD,O
,050100035279,CD,O
,DESC/ITEM,NNP,O
,QTY,NNP,O
,PRICE,NN,O
,AMT(RM),NNP,O
,ST-PRIVILEGE,JJ,O
,CARD/GD,NNP,O
,INDAH,NNP,B-company
,88888,CD,O
,1,LS,O
,10.00,CD,O
,10.00,CD,O
,GF-TABLE,NNP,O
,LAMP/STITCH,NNP,O
,<I>,XX,O
,62483,CD,O
,1,LS,O
,55.90,CD,O
,55.90,CD,O
,@DISC,NNP,O
,10.00%,LS,O
,-5.59,NFP,O
,#TOTAL,.,O
,QTY,NNP,O
,2,LS,O
,TOTAL,NNP,O
,AMT.................,NN,O
,RM,NN,O
,60.31,CD,O
,ROUNDING,VB,O
,ADJ............,ADD,O
,-0.01,XX,O
,RM,NNP,O
,60.30,CD,B-total
,CASH....................,NNP,O
,RM,NNP,O
,70.30,CD,O
,CHANGE..................,NNP,O
,RM,NNP,O
,10.00,CD,O
,THANK,VBP,O
,YOU,PRP,O
,!,.,O
,PLEASE,UH,O
,COME,VB,O
,AGAIN,RB,O
,!,.,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE,VBN,O
,THANK,VBP,O
,YOU,PRP,O
,!,.,O
,FLEASE,NNP,O
,COME,NNP,O
,AOSIN,NNP,O
,!,.,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE,VBN,O
,DEALING,VBG,O
,IN,IN,O
,WHOLESALE,NNP,O
,AND,CC,O
,RETAIL.,NN,O
Sentence: 2,TAN,NNP,O
,WOON,NNP,O
,YANN,VBZ,O
,MR,NNP,B-company
,D.T.Y.,NNP,O
,(JOHOR),NNP,B-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,(CO.REG,XX,O
,:,:,O
,933109-X),NNP,O
,LOT,NNP,B-address
,1851-A,CD,I-address
,&,CC,I-address
,1851-B,CD,I-address
,JALAN,NNP,I-address
,KPB,NNP,I-address
,6,CD,I-address
,KAWASAN,NNP,I-address
,PERINDUSTRIAN,NNP,I-address
,BALAKONG,NNP,I-address
,43300,CD,I-address
,SERI,NNP,I-address
,KEMBANGAN,NNP,I-address
,SELANGOR,NNP,I-address
,(MR,NFP,I-address
,DIY,NNP,I-address
,TESCO,NNS,I-address
,TERBAU),RB,I-address
,-INVOICE-,.,O
,CHOPPING,NNP,O
,BOARD,NNP,O
,35.5X25.5CM,NNP,O
,803M#,CD,O
,EZ10HD05,NNP,O
,-,HYPH,O
,24,CD,O
,8970669,CD,O
,1,LS,O
,X,NNP,O
,19.00,CD,O
,19.00,CD,O
,AIR,NNP,O
,PRESSURE,NNP,O
,SPRAYER,NNP,O
,SX-575-1,NNP,O
,1.5L,NN,O
,HC03-7,NNP,O
,-,HYPH,O
,15,CD,O
,9066468,CD,O
,1,LS,O
,X,NNP,O
,8.02,CD,O
,8.02,CD,O
,WAXCO,NNP,O
,WINDSHILED,NN,O
,CLEANER,NN,O
,120ML,NN,O
,WA14-3A,NNP,O
,-,HYPH,O
,48,CD,O
