,geo1,geo2,geo3,geo4,geo5,geo6,geo7,geo8,sentences,labels
0,72,25,326,25,326,64,72,64,TAN WOON YANN,0
1,50,82,440,82,440,121,50,121,BOOK TA .K (TAMAN DAYA) SDN BND,3
2,205,121,285,121,285,139,205,139,789417-W,0
3,110,144,383,144,383,163,110,163,"NO.53 55,57 & 59, JALAN SAGU 18,",2
4,192,169,299,169,299,187,192,187,"TAMAN DAYA,",2
5,162,193,334,193,334,211,162,211,"81100 JOHOR BAHRU,",2
6,217,216,275,216,275,233,217,233,JOHOR.,2
7,50,342,279,342,279,359,50,359,DOCUMENT NO : TD01167104,0
8,50,372,96,372,96,390,50,390,DATE:,0
9,165,372,342,372,342,389,165,389,25/12/2018 8:13:39 PM,4
10,48,396,117,396,117,415,48,415,CASHIER:,0
11,164,397,215,397,215,413,164,413,MANIS,0
12,49,423,122,423,122,440,49,440,MEMBER:,0
13,191,460,298,460,298,476,191,476,CASH BILL,0
14,30,508,121,508,121,523,30,523,CODE/DESC,0
15,200,507,247,507,247,521,200,521,PRICE,0
16,276,506,306,506,306,522,276,522,DISC,0
17,374,507,441,507,441,521,374,521,AMOUNT,0
18,69,531,102,531,102,550,69,550,QTY,0
19,221,531,247,531,247,545,221,545,RM,0
20,420,529,443,529,443,547,420,547,RM,0
21,27,570,137,570,137,583,27,583,9556939040116,0
22,159,570,396,570,396,584,159,584,KF MODELLING CLAY KIDDY FISH,0
23,77,598,113,598,113,613,77,613,1 PC,0
24,138,597,148,597,148,607,138,607,*,0
25,202,597,245,597,245,612,202,612,9.000,0
26,275,598,309,598,309,612,275,612,0.00,0
27,411,596,443,596,443,613,411,613,9.00,1
28,245,639,293,639,293,658,245,658,TOTAL:,0
29,118,671,291,671,291,687,118,687,ROUR DING ADJUSTMENT:,0
30,408,669,443,669,443,684,408,684,0.00,0
31,86,704,292,704,292,723,86,723,ROUND D TOTAL (RM):,0
32,401,703,443,703,443,719,401,719,9.00,1
33,205,744,243,744,243,765,205,765,CASH,0
34,402,748,441,748,441,763,402,763,10.00,0
35,205,770,271,770,271,788,205,788,CHANGE,0
36,412,772,443,772,443,786,412,786,1.00,0
37,97,845,401,845,401,860,97,860,GOODS SOLD ARE NOT RETURNABLE OR,0
